country,Year,inequality,inflation,GDP,Unemployment
Norway,2010,0.25723967,2.4189065,61672.96,3.52
Norway,2011,0.25300366,1.2849516,61551.215,3.21
Norway,2012,0.25726262,0.6968641,62399.168,3.12
Norway,2013,0.26361203,2.1204863,62275.69,3.42
Norway,2014,0.26752627,2.041703,62838.516,3.48
Norway,2015,0.27496895,2.1711366,63371.887,4.3
Norway,2016,0.28493744,3.55,63547.688,4.68
Norway,2017,0.2698733,1.8751006,64589.555,4.16
Norway,2018,0.27560863,2.7648313,64696.473,3.8
Norway,2019,0.27742285,2.16773,64983.355,3.69
Sweden,2000,0.2696006,0.89914376,40625.363,5.47
Sweden,2001,0.2654536,2.4059584,41103.727,4.73
Sweden,2002,0.26216906,2.158482,41870.258,4.97
Sweden,2003,0.25269747,1.9256554,42678.285,5.55
Sweden,2004,0.26142174,0.37365982,44354.39,6.69
Sweden,2005,0.26825675,0.45317087,45440.297,7.49
Sweden,2006,0.26352492,1.3602147,47292.312,7.07
Sweden,2007,0.27116105,2.212169,48557.383,6.16
Sweden,2008,0.28121334,3.4370492,47963.492,6.23
Sweden,2009,0.2734147,-0.49446055,45492.77,8.35
Sweden,2010,0.2773816,1.1579881,47791.37,8.61
Sweden,2011,0.2760662,2.9611506,48947.438,7.8
Sweden,2012,0.2764538,0.8883775,48300.844,7.98
Sweden,2013,0.2882522,-0.04429297,48462.16,8.05
Sweden,2014,0.28389722,-0.17963849,49258.996,7.95
Sweden,2015,0.29210192,-0.046784744,50928.965,7.43
Sweden,2016,0.29562175,0.98426926,51334.434,6.99
Sweden,2017,0.28774604,1.794499,51947.953,6.72
Sweden,2018,0.2997419,1.9535353,52349.293,6.36
Sweden,2019,0.29305574,1.784151,52850.57,6.83
Sweden,2020,0.28871885,0.49736732,51331.28,8.29
Sweden,2021,0.29767442,2.1631973,54160.367,8.72
Poland,2004,0.3802551,3.3826468,18198.1,19.07
Poland,2005,0.35808986,2.1837988,18844.557,17.75
Poland,2006,0.34668764,1.284694,20012.621,13.84
Poland,2007,0.34002686,2.458743,21437.457,9.6
Poland,2008,0.33485848,4.164972,22334.781,7.12
Poland,2009,0.3335602,3.7953925,22951.785,8.17
Poland,2010,0.3321522,2.5806937,23692.91,9.64
Poland,2011,0.3318104,4.2394013,24874.172,9.63
Poland,2012,0.33020338,3.5603714,25258.594,10.09
Poland,2013,0.33137462,0.9919826,25490.328,10.33
Poland,2014,0.32824492,0.053821314,26488.201,8.99
Poland,2015,0.31751534,-0.8741259,27667.69,7.5
Poland,2016,0.31189826,-0.6647673,28497.104,6.16
Poland,2017,0.2968605,2.0759356,29958.121,4.89
Poland,2018,0.3021544,1.8129516,31739.258,3.85
Poland,2019,0.2876029,2.2274787,33159.75,3.28
Poland,2020,0.2846286,3.3744698,32546.826,3.16
Poland,2021,0.2847967,5.055027,34944.04,3.36
Portugal,2003,0.38775352,3.2189908,30422.602,6.13
Portugal,2004,0.38938835,2.365362,30892.82,6.32
Portugal,2005,0.38480073,2.277164,31076.645,7.58
Portugal,2006,0.3806078,3.1076655,31524.75,7.65
Portugal,2007,0.36750183,2.4539652,32251.568,7.97
Portugal,2008,0.3663415,2.5885065,32307.912,7.55
Portugal,2009,0.34907416,-0.83553004,31269.41,9.43
Portugal,2010,0.35844672,1.4025729,31798.154,10.77
Portugal,2011,0.36344677,3.653011,31304.816,12.68
Portugal,2012,0.36034793,2.7733386,30156.701,15.53
Portugal,2013,0.36187103,0.27441666,30042.89,16.19
Portugal,2014,0.35562173,-0.27815336,30444.6,13.9
Portugal,2015,0.355233,0.4879386,31118.791,12.45
Portugal,2016,0.3519052,0.6073971,31847.537,11.07
Portugal,2017,0.3380384,1.3686141,33044.715,8.87
Portugal,2018,0.33492562,0.9937157,34040.727,6.99
