country,Year,inequality,inequality Z,inflation,Inflation Z,GDP,GDP Z,Unemployment,Unemployment Z,,,,,,,
Turkey,2016,0.41873705,1.923925151,7.775134,0.3719592,26568.02,-0.663731836,10.84,0.618168163,,,,,,,
Turkey,2017,0.43531784,2.283578792,11.144311,0.780113655,28193.174,-0.540082613,10.82,0.612953662,,,,,,,
Turkey,2018,0.42441496,2.047084603,16.332464,1.408625533,28652.21,-0.505157033,10.89,0.631204415,,,,,,,
Turkey,2019,0.43833852,2.349100311,15.176822,1.268626824,28476.684,-0.518511862,13.67,1.356020024,,,,,,,
Turkey,2020,0.43045104,2.178013114,12.278957,0.917568832,28726.191,-0.499528217,13.11,1.210014002,,,,,,,
Turkey,2021,0.4436487,2.464283338,19.596493,1.804041974,31722.16,-0.271581056,11.98,0.915394708,,,,,,,
Ukraine,2002,0.29045695,-0.858596367,0.75742084,-0.478192305,8765.683,-2.018215872,10.14,0.435660636,,,,,,,
Ukraine,2003,0.28664893,-0.941196066,5.179678,0.057536143,9678.087,-1.948795961,9.06,0.154077593,,,,,,,
Ukraine,2004,0.28934017,-0.882820424,9.048068,0.526167092,10902.038,-1.855672115,8.59,0.031536825,,,,,,,
Ukraine,2005,0.29020715,-0.864014775,13.569576,1.07391915,11319.511,-1.823908841,7.18,-0.33608548,,,,,,,
Ukraine,2006,0.29794392,-0.696196625,9.052525,0.526707029,12259.158,-1.752416156,6.81,-0.432553745,,,,,,,
Ukraine,2007,0.27012688,-1.299575578,12.838779,0.985387722,13345.771,-1.66974162,6.35,-0.552487263,,,,,,,
Ukraine,2008,0.2663823,-1.3807992,25.226461,2.486076941,13719.271,-1.641324014,6.36,-0.549880012,,,,,,,
Ukraine,2009,0.25316665,-1.667459645,15.881192,1.353956788,11694.448,-1.795381902,8.84,0.096718085,,,,,,,
Ukraine,2010,0.24818976,-1.775413283,9.3729315,0.565522247,12221.44,-1.755285916,8.1,-0.096218444,,,,,,,
Ukraine,2011,0.24551843,-1.833357058,7.9557247,0.393836619,12933.356,-1.701120058,7.85,-0.161399704,,,,,,,
Ukraine,2012,0.24740657,-1.792401445,0.56872797,-0.501051251,12985.087,-1.697184124,7.53,-0.244831717,,,,,,,
Ukraine,2013,0.24554986,-1.83267531,-0.23894863,-0.598896156,13020.601,-1.694482055,7.17,-0.338692731,,,,,,,
Ukraine,2014,0.24025366,-1.947555097,12.0718565,0.892479918,12385.813,-1.742779659,9.27,0.208829852,,,,,,,
Ukraine,2015,0.2545754,-1.636902472,48.699863,5.32973093,11216.118,-1.831775458,9.14,0.174935596,,,,,,,
Ukraine,2016,0.25002202,-1.735669762,13.91271,1.115487661,11536.316,-1.807413315,9.35,0.229687855,,,,,,,
Ukraine,2017,0.26049048,-1.50859857,14.438323,1.179162347,11860.561,-1.782743257,9.5,0.268796611,,,,,,,
Ukraine,2018,0.26071486,-1.503731547,10.951856,0.756798951,12336.927,-1.746499131,8.8,0.086289083,,,,,,,
Ukraine,2019,0.26619467,-1.38486908,7.8867173,0.38547681,12804.955,-1.710889399,8.19,-0.072753191,,,,,,,
Ukraine,2020,0.25627363,-1.600066193,2.7324922,-0.238924918,12407.79,-1.741107547,9.48,0.26358211,,,,,,,
